epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.7794,1.37306,3.56124,1.24013,0.23149,0.29878,0.15506,0.0957,1.10783,3.24335,1.02774,0.000545744,0.000545744,0.000545744
2,121.522,1.27801,2.48611,1.1523,0.11579,0.18988,0.06488,0.03305,2.00491,4.19847,2.06192,0.0010796,0.0010796,0.0010796
3,144.632,1.24137,2.1153,1.14622,0.43999,0.75396,0.45127,0.31228,1.14475,1.76805,1.14857,0.00159146,0.00159146,0.00159146
4,166.436,1.24898,1.90059,1.14576,0.46068,0.77168,0.46969,0.30883,1.14828,1.46961,1.11974,0.00156798,0.00156798,0.00156798
5,189.813,1.21456,1.67235,1.1283,0.45885,0.81614,0.469,0.32148,1.0933,1.477,1.09497,0.00153497,0.00153497,0.00153497
6,211.635,1.16799,1.52578,1.11362,0.45658,0.78495,0.45447,0.30279,1.17888,1.38379,1.10419,0.00150197,0.00150197,0.00150197
7,234.33,1.15426,1.44387,1.11718,0.45445,0.74746,0.47162,0.31755,1.11899,1.49856,1.0967,0.00146896,0.00146896,0.00146896
8,256.927,1.15941,1.41893,1.10868,0.45749,0.8224,0.48903,0.35142,1.02206,1.28716,1.03844,0.00143595,0.00143595,0.00143595
9,278.941,1.11218,1.34521,1.07933,0.44234,0.80677,0.47064,0.31821,1.08103,1.31561,1.09506,0.00140295,0.00140295,0.00140295
10,302.014,1.11274,1.32034,1.09676,0.42323,0.73899,0.45835,0.30491,1.18401,1.35892,1.12893,0.00136994,0.00136994,0.00136994
11,324.039,1.11341,1.27427,1.08976,0.46102,0.82938,0.48207,0.34408,1.03278,1.233,1.06134,0.00133693,0.00133693,0.00133693
12,346.909,1.08716,1.25761,1.08559,0.45213,0.79016,0.4626,0.32375,1.05296,1.25713,1.05954,0.00130393,0.00130393,0.00130393
13,369.818,1.07931,1.22656,1.05849,0.42696,0.838,0.4434,0.31826,0.9777,1.25519,1.01637,0.00127092,0.00127092,0.00127092
14,391.637,1.09802,1.26211,1.06825,0.45681,0.83613,0.48081,0.34145,1.039,1.22919,1.03886,0.00123791,0.00123791,0.00123791
15,414.606,1.02286,1.18362,1.05274,0.43833,0.84895,0.44469,0.31935,0.9798,1.24123,1.00785,0.00120491,0.00120491,0.00120491
16,436.073,1.06309,1.19138,1.07063,0.45574,0.82889,0.45893,0.31576,1.08137,1.28938,1.08282,0.0011719,0.0011719,0.0011719
17,459.095,1.03839,1.15632,1.05566,0.43375,0.84149,0.4413,0.29665,1.04533,1.29697,1.02709,0.00113889,0.00113889,0.00113889
