epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,333.675,2.75172,12.3604,2.40975,0.00357,0.6985,0.12909,0.08006,2.13686,9.4915,2.00457,0.000545744,0.000545744,0.000545744
2,358,2.56309,8.97621,2.26804,0.39794,0.38909,0.30358,0.17993,2.46741,6.62764,2.35139,0.0010796,0.0010796,0.0010796
3,383.132,2.6023,7.13326,2.33725,0.35238,0.25084,0.22129,0.14229,2.46976,6.59422,2.28466,0.00159146,0.00159146,0.00159146
4,407.415,2.67593,5.71576,2.33613,0.35669,0.56583,0.36258,0.22961,2.47543,3.74126,2.33718,0.00156798,0.00156798,0.00156798
5,431.732,2.60576,4.51138,2.29457,0.37889,0.52862,0.37697,0.24056,2.41254,3.26983,2.2567,0.00153497,0.00153497,0.00153497
6,457.279,2.47953,3.97315,2.2726,0.39636,0.62883,0.40539,0.27476,2.37498,2.91722,2.22225,0.00150197,0.00150197,0.00150197
7,482.516,2.42758,3.55681,2.25319,0.41458,0.67354,0.42262,0.27538,2.33554,2.81891,2.23626,0.00146896,0.00146896,0.00146896
8,507.109,2.46636,3.36395,2.26031,0.39004,0.68527,0.40132,0.26787,2.33421,2.86015,2.24694,0.00143595,0.00143595,0.00143595
9,532.138,2.36305,3.17458,2.20192,0.45636,0.68824,0.44161,0.30431,2.13604,2.75887,2.13508,0.00140295,0.00140295,0.00140295
10,557.446,2.39124,3.03936,2.26025,0.42923,0.63603,0.4377,0.29038,2.33517,2.73504,2.22146,0.00136994,0.00136994,0.00136994
11,583.042,2.25745,2.87372,2.17957,0.43987,0.68285,0.4285,0.29195,2.07941,2.72951,2.12044,0.00133693,0.00133693,0.00133693
12,606.59,2.28939,2.81339,2.20748,0.45437,0.69746,0.46444,0.33062,2.13891,2.54634,2.14477,0.00130393,0.00130393,0.00130393
13,632.133,2.27039,2.70555,2.13809,0.43114,0.72847,0.45282,0.31197,2.31489,2.68539,2.16224,0.00127092,0.00127092,0.00127092
14,657.245,2.29574,2.73314,2.1643,0.45896,0.70728,0.46199,0.32159,2.20912,2.47016,2.12538,0.00123791,0.00123791,0.00123791
15,680.762,2.1939,2.57772,2.12557,0.42048,0.78792,0.44095,0.30727,2.2023,2.57455,2.15291,0.00120491,0.00120491,0.00120491
16,705.812,2.24151,2.57998,2.18251,0.45084,0.72746,0.46635,0.32046,2.13796,2.44223,2.11148,0.0011719,0.0011719,0.0011719
